,winrate,ban_pick_rate,core_items,main_roles
Seraphine,51.89,3.465,"['Ionian Boots of Lucidity', ""Zaz'Zak's Realmspike"", ""Seraph's Embrace""]","['BOTTOM', 'UTILITY']"
Sett,49.0,2.66,"['Stridebreaker', 'Plated Steelcaps', 'Blade of The Ruined King']",['TOP']
Shaco,46.71,13.095,"['Profane Hydra', 'The Collector', ""Youmuu's Ghostblade""]","['JUNGLE', 'UTILITY']"
Shen,49.18,3.27,"['Heartsteel', 'Plated Steelcaps', 'Sunfire Aegis']",['TOP']
Shyvana,52.43,1.945,"['Spear of Shojin', ""Liandry's Torment"", ""Sorcerer's Shoes""]",['JUNGLE']
Singed,53.77,0.635,"[""Rylai's Crystal Scepter"", ""Liandry's Torment"", 'Boots of Swiftness']",['TOP']
Sion,51.93,2.1,"['Heartsteel', 'Plated Steelcaps', 'Sunfire Aegis']",['TOP']
Sivir,52.33,2.175,"[""Berserker's Greaves"", 'Navori Flickerblade', 'Essence Reaver']",['BOTTOM']
Skarner,51.93,7.25,"['Heartsteel', 'Plated Steelcaps', ""Mercury's Treads""]",['JUNGLE']
Smolder,47.48,19.715,"['Trinity Force', 'Muramana', 'Ionian Boots of Lucidity']","['TOP', 'MIDDLE', 'BOTTOM']"
Sona,42.19,1.02,"['Ionian Boots of Lucidity', 'Dream Maker', 'Moonstone Renewer']",['UTILITY']
Soraka,52.78,3.385,"['Moonstone Renewer', 'Ionian Boots of Lucidity', 'Dream Maker']",['UTILITY']
Swain,47.2,1.94,"[""Rylai's Crystal Scepter"", ""Zaz'Zak's Realmspike"", 'Malignance']","['MIDDLE', 'UTILITY']"
Sylas,49.59,22.94,"['Hextech Rocketbelt', ""Sorcerer's Shoes"", ""Zhonya's Hourglass""]",['MIDDLE']
Syndra,48.28,6.26,"[""Luden's Companion"", ""Sorcerer's Shoes"", 'Stormsurge']",['MIDDLE']
TahmKench,51.27,1.9,"['Heartsteel', 'Plated Steelcaps', 'Thornmail']","['TOP', 'UTILITY']"
Taliyah,53.91,7.535,"[""Sorcerer's Shoes"", ""Luden's Companion"", ""Liandry's Torment""]","['JUNGLE', 'MIDDLE']"
Talon,50.0,1.505,"[""Youmuu's Ghostblade"", 'Ionian Boots of Lucidity', 'Profane Hydra']","['JUNGLE', 'MIDDLE']"
Taric,43.86,0.44,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']",['UTILITY']
Teemo,50.27,3.645,"[""Liandry's Torment"", ""Nashor's Tooth"", ""Sorcerer's Shoes""]","['TOP', 'UTILITY']"
Thresh,49.69,17.635,"['Locket of the Iron Solari', 'Celestial Opposition', 'Solstice Sleigh']",['UTILITY']
Tristana,45.99,3.05,"[""Berserker's Greaves"", 'Kraken Slayer', 'Navori Flickerblade']","['MIDDLE', 'BOTTOM']"
Trundle,50.94,0.97,"['Trinity Force', 'Plated Steelcaps', 'Ravenous Hydra']",['TOP']
Tryndamere,50.12,4.55,"[""Berserker's Greaves"", 'Blade of The Ruined King', 'Ravenous Hydra']",['TOP']
TwistedFate,47.97,3.995,"['Lich Bane', 'Rapid Firecannon', ""Luden's Companion""]",['MIDDLE']
Twitch,48.72,1.995,"[""Berserker's Greaves"", 'Blade of The Ruined King', ""Runaan's Hurricane""]","['BOTTOM', 'UTILITY']"
Udyr,48.46,1.89,"[""Liandry's Torment"", 'Unending Despair', 'Plated Steelcaps']","['TOP', 'JUNGLE']"
Urgot,58.37,1.21,"['Black Cleaver', 'Plated Steelcaps', ""Sterak's Gage""]",['TOP']
Varus,48.47,4.13,"['Blade of The Ruined King', ""Berserker's Greaves"", ""Guinsoo's Rageblade""]",['BOTTOM']
Vayne,51.99,2.15,"['Blade of The Ruined King', ""Berserker's Greaves"", 'Kraken Slayer']","['TOP', 'BOTTOM']"
Veigar,52.37,2.24,"[""Sorcerer's Shoes"", ""Luden's Companion"", ""Seraph's Embrace""]","['MIDDLE', 'UTILITY']"
Velkoz,50.8,1.565,"[""Zaz'Zak's Realmspike"", ""Sorcerer's Shoes"", ""Luden's Companion""]","['MIDDLE', 'UTILITY']"
Vex,54.45,2.885,"[""Sorcerer's Shoes"", ""Luden's Companion"", 'Shadowflame']",['MIDDLE']
Vi,46.15,3.71,"['Sundered Sky', 'Black Cleaver', 'Eclipse']",['JUNGLE']
Viego,50.99,13.145,"['Kraken Slayer', 'Sundered Sky', 'Plated Steelcaps']",['JUNGLE']
Viktor,50.13,3.2,"[""Sorcerer's Shoes"", ""Luden's Companion"", ""Liandry's Torment""]",['MIDDLE']
Vladimir,47.86,4.37,"['Cosmic Drive', ""Sorcerer's Shoes"", 'Ionian Boots of Lucidity']","['TOP', 'MIDDLE']"
Volibear,51.27,3.895,"['Navori Flickerblade', 'Rod of Ages', 'Ionian Boots of Lucidity']","['TOP', 'JUNGLE']"
Warwick,51.05,1.37,"['Blade of The Ruined King', 'Plated Steelcaps', 'Stridebreaker']","['TOP', 'JUNGLE']"
Xayah,48.21,6.42,"[""Berserker's Greaves"", 'Navori Flickerblade', 'Essence Reaver']",['BOTTOM']
